zip,primary_city,state,lat,lon
Canada,,,61.2472132,-98.3366862
Australia,,,-24.7947697,137.338519
Belgium,,,50.8500,4.3500
Austria,,,48.2000,16.3500
Chile,,,-35.0703703,-65.416462
Costa Rica,,,9.6825325,-83.9419599
Czech Republic,,,49.7821135,16.1433594
Denmark,,,56.1351841,10.025129
Dominican Republic,,,18.7084656,-70.3660717
France,,,46.0768073,1.0113431
Germany,,,51.0644206,9.9014589
Greece,,,39.1494913,22.5596463
Guatemala,,,15.7663055,-90.5929865
Hong Kong,,,22.3614278,114.1385162
Hungary,,,47.1092575,19.1359368
India,,,20.5555536,79.884138
Ireland,,,53.432611,-8.1191726
Italy,,,40.8734267,12.9203575
Japan,,,36.6326595,139.0131813
Luxembourg,,,49.8245743,6.1922522,9
Mexico,,,23.3638282,-98.9344844,5
New Zealand,,,-43.1873795,171.0501857,5
Norway,,,63.5665114,17.6473205,4
Panama,,,8.4191147,-80.5319802,7
Peru,,,-8.7782058,-74.7460302,5
Portugal,,,39.5693944,-7.7186207,7
Russia,,,57.4045408,90.1133629,3
Singapore,,,1.3147268,103.8233175,11
Spain,,,40.0876243,-2.8535211,6
Sweden,,,62.24907,17.195696,4
Switzerland,,,46.8114466,7.9627925,8
Taiwan,,,23.6275563,121.0014488,7
Thailand,,,12.8813627,100.1999681,5
The Netherlands,,,52.2252888,5.645998,7
The Philippines,,,11.5985855,121.9454763,5
Ukraine,,,48.2952278,26.6842493,6
United Arab Emirates,,,24.2939435,53.5684614,7
United Kingdom,,,54.9818794,-5.8730179,5
Vietnam,,,15.5873556,104.8715074,5